DATE,QUANT
1987-01-01,183.0
1988-01-01,177.6
1989-01-01,174.0
1990-01-01,176.0
1991-01-01,164.7
1992-01-01,160.3
1993-01-01,164.9
1994-01-01,167.7
1995-01-01,162.3
1996-01-01,162.5
1997-01-01,161.7
1998-01-01,162.2
1999-01-01,168.1
2000-01-01,164.6
2001-01-01,167.1
2002-01-01,162.9
2003-01-01,158.6
2004-01-01,153.4
2005-01-01,153.6
2006-01-01,153.3
2007-01-01,154.3
2008-01-01,163.5
2009-01-01,157.9
2010-01-01,153.1
2011-01-01,159.7
2012-01-01,164.4
2013-01-01,164.0
2014-01-01,164.7
2015-01-01,166.3
2016-01-01,176.0
2017-01-01,172.4
2018-01-01,178.6
2019-01-01,181.3
2020-01-01,177.2
2021-01-01,179.2
